id,name,language,actor,actress,released,link,duration,genre,thumbnail,Status,,,,,,,,,,
4,Jalsa,Telugu,Pavan Kalyan,Ileana D'Cruz,2008,https://www.youtube.com/watch?v=68wSTlrw_RQ,2:43:26,"Action , Romantic , Drama , Thriller , Comedy",https://img.youtube.com/vi/68wSTlrw_RQ/mqdefault.jpg,Uploaded,,,,,,,,,,
5,Yamudiki Mogudu,Telugu,Chiranjeevi,"Vijayasanthi, Radha",1988,https://www.youtube.com/watch?v=Bl-5t9sI-wc,2:25:51,"Action , Comedy",https://img.youtube.com/vi/Bl-5t9sI-wc/mqdefault.jpg,Uploaded,,,,,,,,,,
7,Hera Pheri,Hindi,"Akshay Kumar, Sunil Shetty, Paresh Rawal",Tabu,2000,https://www.youtube.com/watch?v=TIQ5hrfermg,2:18:03,Comdey,https://img.youtube.com/vi/TIQ5hrfermg/mqdefault.jpg,Uploaded,,,,,,,,,,
8,Bhagam Bhag,Hindi,"Akshay Kumar, Govinda, Paresh Rawal","Lara Dutta, Tanushree Dutta",2006,https://www.youtube.com/watch?v=zloKjQXmwhE&t=7880s,2:38:29,"Comdey, Thriller",https://img.youtube.com/vi/zloKjQXmwhE/mqdefault.jpg,Uploaded,,,,,,,,,,
9,Pasivadi Pranam,Telugu,Chiranjeevi,"Vijayasanthi, Radha",1987,https://www.youtube.com/watch?v=ZTfwQmu0iBg,2:17:45,"Action, Drama",https://img.youtube.com/vi/ZTfwQmu0iBg/mqdefault.jpg,Uploaded,,,,,,,,,,
10,Attaku Yamudu Ammayiki Mogudu,Telugu,Chiranjeevi,Vijayashanti,1989,https://www.youtube.com/watch?v=hdarcKWGqRE,2:02:06,"Action , Comedy",https://img.youtube.com/vi/hdarcKWGqRE/mqdefault.jpg,Uploaded,,,,,,,,,,
11,S P Parasuram,Telugu,Chiranjeevi,Sridevi,1994,https://www.youtube.com/watch?v=NMb3ATMxxdQ,2:29:50,Action,https://img.youtube.com/vi/NMb3ATMxxdQ/mqdefault.jpg,Uploaded,,,,,,,,,,
12,Andarivaadu,Telugu,Chiranjeevi,"Tabu, Rimi Sen",2005,https://www.youtube.com/watch?v=iGL-xLfua7g,2:35:41,"Action, Comedy",https://img.youtube.com/vi/iGL-xLfua7g/mqdefault.jpg,Uploaded,,,,,,,,,,
13,Daddy,Telugu,Chiranjeevi,Simran,2001,https://www.youtube.com/watch?v=-oZh1AqgoI8,2:36:20,Drama,https://img.youtube.com/vi/-oZh1AqgoI8/mqdefault.jpg,Uploaded,,,,,,,,,,
14,Rowdy Alludu,Telugu,Chiranjeevi,"Sobhana, Divya Bharathi",1991,https://www.youtube.com/watch?v=hRoeuPZakqs,2:23:18,"Thriller, Musical",https://img.youtube.com/vi/hRoeuPZakqs/mqdefault.jpg,Uploaded,,,,,,,,,,
15,Annayya,Telugu,Chiranjeevi,"Soundarya,",2000,https://www.youtube.com/watch?v=OTIBXp6oEIU,2:37:33,"Action, Comedy",https://img.youtube.com/vi/OTIBXp6oEIU/mqdefault.jpg,Uploaded,,,,,,,,,,
16,Yamakinkarudu,Telugu,Chiranjeevi,Radhika,1982,https://www.youtube.com/watch?v=8b_x84p1pQg,2:01:53,"Action, Drama, Crime",https://img.youtube.com/vi/8b_x84p1pQg/mqdefault.jpg,Uploaded,,,,,,,,,,
17,Subhalekha,Telugu,Chiranjeevi,Sumalatha,1982,https://www.youtube.com/watch?v=0qXh7R6zJLw,2:39:53,"Drama, Musical",https://img.youtube.com/vi/0qXh7R6zJLw/mqdefault.jpg,Uploaded,,,,,,,,,,
18,Tholi Prema,Telugu,Pawan Kalyan,Keerthi Reddy,1998,https://www.youtube.com/watch?v=CbklMuDh7i0,2:26:29,"Romance, Comedy",https://img.youtube.com/vi/CbklMuDh7i0/sddefault.jpg,Uploaded,,,,,,,,,,
19,Arunachalam,Telugu,Rajinikanth,Soundarya,1997,https://www.youtube.com/watch?v=PCkob0FCzW8,2:42:57,Comedy,https://img.youtube.com/vi/PCkob0FCzW8/maxresdefault.jpg,Uploaded,,,,,,,,,,
20,Vasantam,Telugu,Venkatesh,Aarti Agarwal,2003,https://www.youtube.com/watch?v=9CeqGk2hVFU,2:43:45,Drama,https://img.youtube.com/vi/9CeqGk2hVFU/maxresdefault.jpg,Uploaded,,,,,,,,,,
21,Shiva,Telugu,Nagarjuna, Amala,1989,https://www.youtube.com/watch?v=VRVHoabpSoI,2:24:25,Action,https://img.youtube.com/vi/VRVHoabpSoI/maxresdefault.jpg,Uploaded,,,,,,,,,,
22,Pelli Sandadi,Telugu,Srikanth,"Ravali, Deepti Bhatnagar",1996,https://www.youtube.com/watch?v=h5TqAXjnAMg,2:09:10,"Romance, Musical",https://img.youtube.com/vi/h5TqAXjnAMg/maxresdefault.jpg,Uploaded,,,,,,,,,,
23,Swayam Krushi,Telugu,Chiranjeevi,"Vijayashanti, Sumalatha",1987,https://www.youtube.com/watch?v=pd7OrghXFcU,2:36:00,Musical,https://img.youtube.com/vi/pd7OrghXFcU/maxresdefault.jpg,Uploaded,,,,,,,,,,
24,Balu ABCDEFG,Telugu,Pawan Kalyan,Shriya Saran,2005,https://www.youtube.com/watch?v=uPdXi6xIBlc,2:41:15,"Action, Romance, Drama",https://img.youtube.com/vi/uPdXi6xIBlc/maxresdefault.jpg,Uploaded,,,,,,,,,,
25,Simhadri,Telugu,NTR,"Bhoomika Chawla , Ankhita",2003,https://www.youtube.com/watch?v=Nf4t_qjbb2U,2:49:17,"Action, Drama",https://img.youtube.com/vi/Nf4t_qjbb2U/maxresdefault.jpg,Uploaded,,,,,,,,,,
26,Ishq,Telugu,Nithiin,Nithya Menen ,2012,https://www.youtube.com/watch?v=vOBsXRzcSgg,2:33:56,"Romance, Comedy",https://img.youtube.com/vi/vOBsXRzcSgg/maxresdefault.jpg,Uploaded,,,,,,,,,,
27,Saarochharu,Telugu,Ravi Teja,Kajal Aggarwal,2012,https://www.youtube.com/watch?v=-K5haWmrZwk,2:16:53,"Romance, Drama",https://img.youtube.com/vi/K5haWmrZwk/maxresdefault.jpg,Uploaded,,,,,,,,,,
28,Lion,Telugu,Balakrishna,"Trisha, Radhika Apte",2015,https://www.youtube.com/watch?v=4nkY6ATSdLg,2:31:25,"Action, Romance, Drama",https://img.youtube.com/vi/4nkY6ATSdLg/maxresdefault.jpg,Uploaded,,,,,,,,,,
29,Naa Peru Shiva,Telugu,Karthi,Kajal Aggarwal,2010,https://www.youtube.com/watch?v=kx7VCAixIZg,2:07:54,Action,https://img.youtube.com/vi/kx7VCAixIZg/maxresdefault.jpg,,,,,,,,,,,